id,name,generation,height,weight,hp,attack,defense,special-attack,special-defense,speed,total,url_sprite,url_shadow_sprite
35,Clefairy,generation-i,6,75,70,45,48,60,65,35,323,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/35.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/35.png?raw=true
36,Clefable,generation-i,13,400,95,70,73,95,90,60,483,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/36.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/36.png?raw=true
37,Vulpix,generation-i,6,99,38,41,40,50,65,65,299,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/37.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/37.png?raw=true
38,Ninetales,generation-i,11,199,73,76,75,81,100,100,505,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/38.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/38.png?raw=true
39,Jigglypuff,generation-i,5,55,115,45,20,45,25,20,270,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/39.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/39.png?raw=true
40,Wigglytuff,generation-i,10,120,140,70,45,85,50,45,435,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/40.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/40.png?raw=true
41,Zubat,generation-i,8,75,40,45,35,30,40,55,245,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/41.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/41.png?raw=true
42,Golbat,generation-i,16,550,75,80,70,65,75,90,455,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/42.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/42.png?raw=true
43,Oddish,generation-i,5,54,45,50,55,75,65,30,320,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/43.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/43.png?raw=true
44,Gloom,generation-i,8,86,60,65,70,85,75,40,395,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/44.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/44.png?raw=true
45,Vileplume,generation-i,12,186,75,80,85,110,90,50,490,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/45.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/45.png?raw=true
46,Paras,generation-i,3,54,35,70,55,45,55,25,285,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/46.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/46.png?raw=true
47,Parasect,generation-i,10,295,60,95,80,60,80,30,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/47.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/47.png?raw=true
48,Venonat,generation-i,10,300,60,55,50,40,55,45,305,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/48.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/48.png?raw=true
49,Venomoth,generation-i,15,125,70,65,60,90,75,90,450,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/49.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/49.png?raw=true
50,Diglett,generation-i,2,8,10,55,25,35,45,95,265,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/50.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/50.png?raw=true
51,Dugtrio,generation-i,7,333,35,100,50,50,70,120,425,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/51.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/51.png?raw=true
52,Meowth,generation-i,4,42,40,45,35,40,40,90,290,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/52.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/52.png?raw=true
53,Persian,generation-i,10,320,65,70,60,65,65,115,440,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/53.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/53.png?raw=true
54,Psyduck,generation-i,8,196,50,52,48,65,50,55,320,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/54.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/54.png?raw=true
55,Golduck,generation-i,17,766,80,82,78,95,80,85,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/55.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/55.png?raw=true
56,Mankey,generation-i,5,280,40,80,35,35,45,70,305,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/56.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/56.png?raw=true
57,Primeape,generation-i,10,320,65,105,60,60,70,95,455,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/57.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/57.png?raw=true
58,Growlithe,generation-i,7,190,55,70,45,70,50,60,350,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/58.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/58.png?raw=true
59,Arcanine,generation-i,19,1550,90,110,80,100,80,95,555,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/59.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/59.png?raw=true
60,Poliwag,generation-i,6,124,40,50,40,40,40,90,300,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/60.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/60.png?raw=true
61,Poliwhirl,generation-i,10,200,65,65,65,50,50,90,385,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/61.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/61.png?raw=true
62,Poliwrath,generation-i,13,540,90,95,95,70,90,70,510,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/62.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/62.png?raw=true
63,Abra,generation-i,9,195,25,20,15,105,55,90,310,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/63.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/63.png?raw=true
64,Kadabra,generation-i,13,565,40,35,30,120,70,105,400,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/64.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/64.png?raw=true
65,Alakazam,generation-i,15,480,55,50,45,135,95,120,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/65.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/65.png?raw=true
66,Machop,generation-i,8,195,70,80,50,35,35,35,305,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/66.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/66.png?raw=true
67,Machoke,generation-i,15,705,80,100,70,50,60,45,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/67.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/67.png?raw=true
68,Machamp,generation-i,16,1300,90,130,80,65,85,55,505,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/68.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/68.png?raw=true
69,Bellsprout,generation-i,7,40,50,75,35,70,30,40,300,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/69.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/69.png?raw=true
70,Weepinbell,generation-i,10,64,65,90,50,85,45,55,390,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/70.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/70.png?raw=true
71,Victreebel,generation-i,17,155,80,105,65,100,70,70,490,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/71.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/71.png?raw=true
72,Tentacool,generation-i,9,455,40,40,35,50,100,70,335,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/72.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/72.png?raw=true
73,Tentacruel,generation-i,16,550,80,70,65,80,120,100,515,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/73.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/73.png?raw=true
74,Geodude,generation-i,4,200,40,80,100,30,30,20,300,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/74.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/74.png?raw=true
75,Graveler,generation-i,10,1050,55,95,115,45,45,35,390,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/75.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/75.png?raw=true
76,Golem,generation-i,14,3000,80,120,130,55,65,45,495,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/76.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/76.png?raw=true
77,Ponyta,generation-i,10,300,50,85,55,65,65,90,410,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/77.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/77.png?raw=true
78,Rapidash,generation-i,17,950,65,100,70,80,80,105,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/78.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/78.png?raw=true
79,Slowpoke,generation-i,12,360,90,65,65,40,40,15,315,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/79.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/79.png?raw=true
80,Slowbro,generation-i,16,785,95,75,110,100,80,30,490,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/80.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/80.png?raw=true
81,Magnemite,generation-i,3,60,25,35,70,95,55,45,325,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/81.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/81.png?raw=true
82,Magneton,generation-i,10,600,50,60,95,120,70,70,465,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/82.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/82.png?raw=true
83,Farfetchd,generation-i,8,150,52,90,55,58,62,60,377,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/83.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/83.png?raw=true
84,Doduo,generation-i,14,392,35,85,45,35,35,75,310,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/84.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/84.png?raw=true
85,Dodrio,generation-i,18,852,60,110,70,60,60,110,470,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/85.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/85.png?raw=true
86,Seel,generation-i,11,900,65,45,55,45,70,45,325,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/86.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/86.png?raw=true
87,Dewgong,generation-i,17,1200,90,70,80,70,95,70,475,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/87.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/87.png?raw=true
88,Grimer,generation-i,9,300,80,80,50,40,50,25,325,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/88.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/88.png?raw=true
89,Muk,generation-i,12,300,105,105,75,65,100,50,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/89.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/89.png?raw=true
90,Shellder,generation-i,3,40,30,65,100,45,25,40,305,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/90.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/90.png?raw=true
91,Cloyster,generation-i,15,1325,50,95,180,85,45,70,525,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/91.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/91.png?raw=true
92,Gastly,generation-i,13,1,30,35,30,100,35,80,310,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/92.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/92.png?raw=true
93,Haunter,generation-i,16,1,45,50,45,115,55,95,405,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/93.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/93.png?raw=true
94,Gengar,generation-i,15,405,60,65,60,130,75,110,500,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/94.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/94.png?raw=true
95,Onix,generation-i,88,2100,35,45,160,30,45,70,385,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/95.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/95.png?raw=true
96,Drowzee,generation-i,10,324,60,48,45,43,90,42,328,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/96.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/96.png?raw=true
97,Hypno,generation-i,16,756,85,73,70,73,115,67,483,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/97.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/97.png?raw=true
98,Krabby,generation-i,4,65,30,105,90,25,25,50,325,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/98.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/98.png?raw=true
99,Kingler,generation-i,13,600,55,130,115,50,50,75,475,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/99.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/99.png?raw=true
100,Voltorb,generation-i,5,104,40,30,50,55,55,100,330,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/100.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/100.png?raw=true
101,Electrode,generation-i,12,666,60,50,70,80,80,150,490,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/101.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/101.png?raw=true
102,Exeggcute,generation-i,4,25,60,40,80,60,45,40,325,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/102.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/102.png?raw=true
103,Exeggutor,generation-i,20,1200,95,95,85,125,75,55,530,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/103.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/103.png?raw=true
104,Cubone,generation-i,4,65,50,50,95,40,50,35,320,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/104.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/104.png?raw=true
105,Marowak,generation-i,10,450,60,80,110,50,80,45,425,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/105.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/105.png?raw=true
106,Hitmonlee,generation-i,15,498,50,120,53,35,110,87,455,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/106.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/106.png?raw=true
107,Hitmonchan,generation-i,14,502,50,105,79,35,110,76,455,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/107.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/107.png?raw=true
108,Lickitung,generation-i,12,655,90,55,75,60,75,30,385,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/108.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/108.png?raw=true
109,Koffing,generation-i,6,10,40,65,95,60,45,35,340,https://github.com/mhirokitomida/poke_game/blob/main/data/images/sprites/gen_I/109.png?raw=true,https://github.com/mhirokitomida/poke_game/blob/main/data/images/shadow_sprites/gen_I/109.png?raw=true
